,profession,Corrected,Categorie
1930,eleve,élevé,None
1931,menagere,ménagère,None
1932,eleve,élevé,None
1934,talibe,talibé,None
1935,commercant,commerçant,commerçant
1936,chauffeur,chauffeur,transport
1937,menagere,ménagère,None
1939,commercant,commerçant,commerçant
1940,menagere,ménagère,None
1941,etudiant,étudiant,enseignement
1942,caissiere,caissière,None
1943,commercant,commerçant,commerçant
1944,technicien terrassement,Technicien terrassement,None
1945,eleve,élevé,None
1946,menagere,ménagère,None
1948,cte /dm,ce /dm,None
1949,cte /dm,ce /dm,None
1950,commercante,commerçant,commerçant
1951,agent de sante,Agent de santé,médical
1952,agent de sante,Agent de santé,médical
1953,agent de sante,Agent de santé,médical
1954,agent de sante,Agent de santé,médical
1955,eleve,élevé,None
1956,menagere,ménagère,None
1957,agent de sante,Agent de santé,médical
1958,maitre coranique,Maitre coranique,enseignement
1959,menagere,ménagère,None
1960,autre,autre,None
1961,etudiante,étudiante,enseignement
1963,autre,autre,None
1965,agent de sante,Agent de santé,médical
1966,agent de sante,Agent de santé,médical
1967,commercant,commerçant,commerçant
1968,pericultrice,puéricultrice,None
1969,eleve,élevé,None
1970,fafa,fana,None
1973,menagere,ménagère,None
1974,ndongo daara,Congo d'aura,None
1976,menagere,ménagère,None
1977,agent banquier,Agent banquier,commerçant
1978,etudiant,étudiant,enseignement
1980,commercante,commerçant,commerçant
1981,operateur economique,opérateur économique,commerçant
1982,eleve (coranique),élevé (coranique),enseignement
1983,eleve,élevé,None
1984,talibe,talibé,None
1985,menagere,ménagère,None
1986,enseignant,enseignement,enseignement
1987,agent commercial,Agent commercial,transport
1988,menagere,ménagère,None
1990,reparateur portable,réparateur portable,transport
1991,gerant de centre commercial,gérant de centre commercial,transport
1992,tailleur,tailleur,None
1993,eleve,élevé,None
1994,eleve,élevé,None
1995,missionnaire,missionnaire,transport
1996,autre,autre,None
1997,commercante,commerçant,commerçant
1998,menagere,ménagère,None
2000,cultivateur,cultivateur,commerçant
2001,chauffeur,chauffeur,transport
2002,agent croix rouge,Agent croix rouge,None
2004,agent facturation,Agent facturation,None
2005,femme de menage,Femme de ménage,None
2006,technicienne surface,Technicienne surface,None
2007,eleve,élevé,None
2008,enseignant,enseignement,enseignement
2009,agent commerciale,Agent commercial,transport
2010,menagere,ménagère,None
2012,menagere,ménagère,None
2013,commercante,commerçant,commerçant
2014,commercant,commerçant,commerçant
2015,enseignante,enseignement,enseignement
2016,commercant,commerçant,commerçant
2017,eleve,élevé,None
2018,commercant,commerçant,commerçant
2019,commercante,commerçant,commerçant
2020,eleve,élevé,None
2022,agent commercial,Agent commercial,transport
2023,eleve,élevé,None
2025,bonne,bonne,None
2028,eleve,élevé,None
2029,eleve,élevé,None
2030,chauffeur,chauffeur,transport
2031,commercante,commerçant,commerçant
2033,comptable,comptable,None
2035,eleve,élevé,None
2036,eleve,élevé,None
2037,autre,autre,None
2038,agent de presse,Agent de presse,enseignement
2040,macon,maçon,None
2041,menagere,ménagère,None
2042,commercant,commerçant,commerçant
2043,commercant,commerçant,commerçant
2044,autre,autre,None
2046,eleve,élevé,None
2047,commercante,commerçant,commerçant
2056,aide radio,Aide radio,None
2061,commercant,commerçant,commerçant
2062,autre,autre,None
2063,autre,autre,None
2067,autre,autre,None
2068,autre,autre,None
2069,autre,autre,None
2070,vigile,vigile,None
2073,commercant,commerçant,commerçant
2074,autre,autre,None
